Year,Quarter,Unemployment,GDP,CPI,InterestRate,Exports
1999,Q1,6.266666666666667,37412,69.87321,3,5030606.666666667
1999,Q2,6,38083,70.75871,2.543956043956044,5341811.666666667
1999,Q3,5.433333333333334,40112,71.12095,2.5,5832835.666666667
1999,Q4,5.3,40871,71.84544,2.8097826086956523,6118408.333333333
2000,Q1,4.8,40867,72.89193,3.197802197802198,6108333.333333333
2000,Q2,4.6000000000000005,42233,74.46166,3.78125,6687900
2000,Q3,4.233333333333333,43730,75.50815,3.78125,7118233.333333333
2000,Q4,3.9,44364,76.55464,3.78125,8000500
2001,Q1,3.966666666666667,43987,76.75589,3.78125,7824500
2001,Q2,4,44926,78.48662,3.78125,7547933.333333333
2001,Q3,4.366666666666667,44998,79.00986,3.78125,7909033.333333333
2001,Q4,4.433333333333334,46366,79.69411,3.78125,7630700
2002,Q1,4.533333333333334,46358,80.37835,3.78125,8466466.666666666
2002,Q2,4.633333333333333,47246,82.10908,3.78125,8097466.666666667
2002,Q3,4.5,47842,82.47132,3.78125,7631833.333333333
2002,Q4,5.266666666666667,49467,83.51781,3.78125,7220066.666666667
2003,Q1,4.833333333333333,47354,84.36305,3.78125,6765933.333333333
2003,Q2,4.766666666666667,48550,85.20829,3.78125,6733366.666666667
2003,Q3,5,48283,85.00704,3.78125,6886233.333333333
2003,Q4,4.766666666666667,52479,85.36929,3.78125,7128600
2004,Q1,5.133333333333333,50992,85.73154,3.78125,7072733.333333333
2004,Q2,4.666666666666667,52766,86.73778,3.78125,6999666.666666667
2004,Q3,4.5,51680,87.22077,3.78125,7056533.333333333
2004,Q4,4.7,54577,87.66351,3.78125,7106866.666666667
2005,Q1,4.3999999999999995,54001,87.62326,3.78125,7033800
2005,Q2,4.866666666666667,55841,88.75025,3.78125,7305366.666666667
2005,Q3,4.7,54609,89.47475,3.78125,7293433.333333333
2005,Q4,4.533333333333333,57619,90.03824,3.78125,7410100
2006,Q1,4.7,57459,90.44073,3.78125,7268500
2006,Q2,4.733333333333333,57867,92.17146,3.78125,7151133.333333333
2006,Q3,5,58417,93.2582,3.78125,7486900
2006,Q4,4.633333333333333,59403,94.02294,3.78125,7337800
2007,Q1,4.8999999999999995,62068,94.94868,3.78125,7595700
2007,Q2,5,61294,96.80016,3.78125,7798000
2007,Q3,4.9,59773,97.68565,3.78125,7537166.666666667
2007,Q4,5.2,62392,98.53089,3.78125,7279366.666666667
2008,Q1,5.366666666666667,60366,99.41638,3.78125,7541366.666666667
2008,Q2,5.933333333333334,59104,101.2276,3.78125,7289233.333333333
2008,Q3,7.366666666666667,59074,101.9521,3.78125,7463566.666666667
2008,Q4,8.533333333333333,55973,101.0264,3.217948717948718,7312233.333333333
2009,Q1,10.866666666666667,56058,98.00764,1.9944444444444445,7743633.333333333
2009,Q2,12.6,56235,96.67941,1.1346153846153846,7820133.333333333
2009,Q3,13.299999999999999,55919,95.75367,1,7261233.333333333
2009,Q4,13.833333333333334,54354,95.23043,1,6568133.333333333
2010,Q1,13.799999999999999,55896,94.70718,1,7155900
2010,Q2,14.366666666666667,56722,95.39143,1,7516366.666666667
2010,Q3,14.6,57364,95.91467,1,7750200
2010,Q4,15.633333333333333,56330,96.11592,1,7832233.333333333
2011,Q1,15.133333333333333,57110,96.84041,1,8034400
2011,Q2,15.033333333333333,58200,98.08815,1.217032967032967,7830566.666666667
2011,Q3,15.6,57855,98.24915,1.4673913043478262,7481033.333333333
2011,Q4,15.866666666666667,56789,98.69189,1.3070652173913044,7759966.666666667
2012,Q1,15.933333333333335,55943,98.93339,1,7945833.333333333
2012,Q2,15.533333333333333,58330,99.85912,1,7569166.666666667
2012,Q3,15.5,57532,99.97987,0.7771739130434783,8102166.666666667
2012,Q4,15,57217,99.73838,0.75,7490366.666666667
2013,Q1,14.533333333333333,55596,99.89938,0.75,7393933.333333333
2013,Q2,14.366666666666667,57904,100.3824,0.6016483516483516,7369100
2013,Q3,13.333333333333334,60869,100.3019,0.5,7521066.666666667
2013,Q4,12.833333333333334,59675,99.97987,0.36684782608695654,7467233.333333333
2014,Q1,12.833333333333334,61272,99.97987,0.25,7302600
2014,Q2,12.200000000000001,63200,100.7446,0.22802197802197802,7678133.333333333
2014,Q3,11.666666666666666,65767,100.6641,0.12717391304347825,7874400
2014,Q4,10.866666666666667,65772,99.93963,0.05,8030166.666666667
2015,Q1,10.633333333333333,78707,99.37613,0.05,8788333.333333334
2015,Q2,10.066666666666668,76638,100.3019,0.049999999999999996,9319800
2015,Q3,9.533333333333333,81457,100.4629,0.05,9295166.666666666
2015,Q4,9.433333333333332,82249,99.85912,0.05,10108700
2016,Q1,8.933333333333334,77001,99.25539,0.041208791,9187068
2016,Q2,8.799999999999999,77016,100.4629,0,9826084.333333334
2016,Q3,8.233333333333334,79920,100.5836,0,10275816.666666666
2016,Q4,7.566666666666666,89015,99.77863,0,10339120.666666666
2017,Q1,7.266666666666667,83278,99.81888,0,10617189.666666666
2017,Q2,6.666666666666667,83804,100.7044,0,10121883.666666666
2017,Q3,6.633333333333333,92242,100.7849,0,10024476.666666666
2017,Q4,6.433333333333334,96276,100.2214,0,10296762.666666666
2018,Q1,5.933333333333334,92196,100.0604,0,11070323.333333334
2018,Q2,5.866666666666667,93528,100.8654,0,11628555.666666666
2018,Q3,5.7,98100,101.5496,0,11897951.333333334
2018,Q4,5.7,99116,100.9459,0,12263036
2019,Q1,5,95715,100.9056,0,12526892.333333334
2019,Q2,5.166666666666667,97405,102.0326,0,12566044.666666666
2019,Q3,5,104005,102.2741,0,12847845
2019,Q4,4.8,104858,101.9924,0,12968464.333333334
2020,Q1,4.8999999999999995,103998,101.9521,0,14195475
2020,Q2,5.133333333333334,99800,101.7509,0,12414954
2020,Q3,7.066666666666666,116211,101.3484,0,13626550.666666666
2020,Q4,6.266666666666667,110731,100.8251,0,13293465.666666666
2021,Q1,7.3999999999999995,118884,101.7106,0,13236500
2021,Q2,7,122488,103.1998,0,13325066.666666666
2021,Q3,5.433333333333334,132215,104.3268,0,13869800
2021,Q4,5.2,127184,106.1381,0,14604500
2022,Q1,4.8999999999999995,127670,107.587,0,17262700
2022,Q2,4.266666666666667,131793,111.451,0,17346866.666666668
2022,Q3,4.233333333333333,141833,113.383,0.49728260869565216,17853333.333333332
2022,Q4,4.3999999999999995,137088,115.476,1.798913043478261,16914166.666666668
2023,Q1,4.2,130787,116.1602,2.8444444444444446,16658633.333333334
2023,Q2,4.2,130697,118.8569,3.67032967,16419733.333333334
2023,Q3,4.366666666666666,135161,120.4266,4.192934782608695,16131700
2023,Q4,4.466666666666667,128084,120.6681,4.5,16301666.666666666
2024,Q1,4.333333333333333,127278,120.1852,4.5,18007733.333333332
2024,Q2,4.4,127631,121.7951,4.447802197802198,17810700
2024,Q3,4.2,140564,122.2781,4.165217391304347,19296900
2024,Q4,4.333333333333333,142896,121.9159,3.4217391304347826,19492400
